,abstract_no,sentence
3828,418,Diffuse infiltrative lymphocytic syndrome is a clinical identity that can be part of the spectrum of Human Immunodeficiency Virus infection.
3829,418,"It is characterized by sicca symptoms, parotid and lachrymal enlargement and extra-articular manifestations."
3830,418,"We report the case of a 60 years old woman with clinical sicca syndrome in association with leukopenia, positive anti-nuclear antibody (ANA) and polyclonal hypergammaglobulinemia."
3831,418,In the follow up the patient developed a mucosa-associated lymphoid tissue pulmonary neoplasm.
3832,418,"Furthermore, the clinical surveys revealed human immunodeficiency virus (HIV) positive markers."
3833,418,"In this particular case report, we must underline the clinical presentation of a sicca syndrome as a manifestation of the HIV infection, bearing in mind that, frequently, the differential diagnosis from other diseases, namely the Sjgren's syndrome, is a real challenge."
3834,419,"A 65-year-old woman with Sjgren's syndrome presented with recurrent abdominal distension, constipation, weight loss, orthostatic dizziness, loss of sweating and incomplete emptying of the bladder."
3835,419,"Gastrointestinal dilatation but no evidence of malignancy or obstruction was found on CT of the abdomen, oesophagogastroduodenoscopy or colonoscopy."
3836,419,Postvoiding residual urine volume was increased.
3837,419,Antiganglionic acetylcholine receptor antibody was positive.
3838,419,We diagnosed as autoimmune autonomic ganglionopathy.
3839,419,The patient responded to corticosteroid treatment.
3840,419,"One year after treatment, she continued to have mild gastrointestinal symptoms, but overall condition was stable without further intervention."
3841,420,OBJECTIVE: Primary Sjgren's syndrome (PSS) is a chronic autoimmune inflammatory disease characterized by exocrine gland inflammation producing clinical symptoms such as dryness of the mouth and eyes.
3842,420,"The reported prevalence of PSS is variable, probably because of different classification criteria used and selection bias."
3843,420,The aim of this study was to determine the prevalence of PSS in a well-defined Norwegian Caucasian population using the revised American-European Consensus Group (AECG) criteria.
3844,420,"METHODS: Three hospitals and three private rheumatology practices provide all of the rheumatology services to the local population in Hordaland and Rogaland counties, which included 852 342 Caucasian inhabitants as of 1 January 2009."
3845,420,"Patients on file fulfilling the new revised AECG criteria for PSS were included, and patients with incomplete data were invited to a screening visit."
3846,420,RESULTS: A total of 424 PSS patients were identified.
3847,420,Their mean age was 61.6  13.2 years; 28 (7%) were men and 396 (93%) were women.
3848,420,The point estimate for the proportion of PSS was 0.050% [95% confidence interval (CI) 0.048-0.052].
3849,420,"CONCLUSION: The prevalence of PSS in this Norwegian population of Caucasians is lower than previously reported when less stringent criteria for identifying PSS were used, but is in line with more recent studies using the same criteria and methods as in this study."
3850,421,The aim of the study is to evaluate hearing function by extended high-frequency audiometry in primary Sjgren Syndrome (pSS) and to correlate it with disease activity.
3851,421,All patients diagnosed with pSS were recruited within 1year.
3852,421,"Patients underwent otologic evaluation, extended high-frequency audiometry, tympanogram, and the ESSPRI scale evaluation."
3853,421,A total of 63 (60 female and 3 male) patients with mean age 49.59.9years with pSS were included.
3854,421,"We detected a hearing loss prevalence of 95.2% (60 patients) in both ears in very high frequencies (10000-16,000Hz)."
3855,421,The hearing loss of all patients was sensorineural.
3856,421,There was no significant difference between the degree of disease activity and the hearing thresholds.
3857,421,We enrolled 188 subjects with a mean age of 47.209.7years as a healthy control group.
3858,421,We compared the hearing thresholds of both ears of patients with pSS versus the healthy control group and observed a significant difference in frequencies above 500Hz.
3859,421,Sensorineural hearing loss was found in pSS patients in frequencies above 4000Hz.
3860,421,"Sensorineural hearing loss was highly prevalent in pSS patients, predominantly in very high frequencies."
3861,421,We claim that sensorineural hearing loss could be an associated symptom of primary Sjgren syndrome and suggest further research to support this conclusion.
3862,422,"OBJECTIVE: According to international classification criteria (2002) on Sjgren's syndrome, labial pathology was still considered as a major criterion for diagnosis."
3863,422,Standard labial biopsy was hard to be carried out in China.
3864,422,This study is to evaluate whether the invasive labial biopsy could be replaced by noninvasive detection of serum anti-SSA antibody.
3865,422,METHODS: 181 Chinese patients with the initial diagnosis of primary Sjgren's syndrome in Peking Union Medical College Hospital (PUMCH) were enrolled in Sjgren's International Collaborative Clinical Alliance (SICCA).
3866,422,"All patients received standard labial biopsies (area of salivary gland tissue  4 mm) and focal score (FS) of focal lymphatic sialadenitis were confirmed by pathologists from school of stomatology, University California of San Francisco (UCSF)."
3867,422,"Anti-SSA antibodies in sera of all patients were detected by double immunodiffusion (DID), Western blot in PUMCH and by enzyme-linked immunosorbent assay (ELISA) in central laboratory of SICCA."
3868,422,The correlation between labial pathological findings and serum anti-SSA antibody was studied by chi test and the concordance was calculated by unweighted Kappa.
3869,422,"RESULTS: (1) Bivariate analysis revealed strong associations of FS > 1 with the presence of anti-SSA antibody by DID (83.9% vs 42.0%, P < 0.0001)."
3870,422,The accordance between FS and antibody detection by DID was fine with a kappa value of 0.432.
3871,422,"However, there were 16.1% false-positive antibody reports and 42.0% false-negative antibody reports."
3872,422,"(2) FS > 1 was strongly associated with the presence of anti-SSA antibody by Western blot (83.0% vs 51.7%, P < 0.0001)."
3873,422,But the accordance between FS and antibody detection by Western blot was only fair with a kappa value of 0.316.
3874,422,There were 17.0% false-positive antibody reports and 51.7% false-negative antibody reports.
3875,422,"(3) FS > 1 was strongly associated with the presence of anti-SSA antibody by ELISA (81.5% vs 38.6%, P < 0.0001)."
3876,422,The accordance between FS and antibody detection by ELISA was fine with a kappa value of 0.427.
3877,422,There were 18.5% false-positive antibody reports and 38.6% false-negative antibody reports.
3878,422,"CONCLUSION: In Sjgren's syndrome, labial biopsy with FS > 1 finding is strongly associated with anti-SSA antibody."
3879,422,"Positive results of anti-SSA antibodies by DID or ELISA may indicate FS > 1, thus labial biopsy could relatively be avoided, negative results may need further standard labial biopsy procedure to confirm the diagnosis of Sjgren's syndrome."
3880,423,Interstitial cystitis is an exceptional entity during primary Sjgren's syndrome.
3881,423,"In this regard, we report the case of a 67-year-old patient in whom initially idiopathic interstitial cystitis revealed primary Sjgren's syndrome after 5 years of evolution in front of xerostomiaa, xerophtalmia and bilateral parotid hypertrophy with histological confirmation at the biopsy of accessory salivary glands."
3882,424,BACKGROUND: To evaluate the tear osmolarity in patients with dry eye syndrome related to primary Sjgren's Syndrome (SS).
3883,424,MATERIALS AND METHODS: Twenty eyes of 10 patients with dry eye and primary SS (Group 1) and 20 eyes of 20 subjects who do not have dry eye syndrome (Group 2) were included in this cross-sectional study.
3884,424,"In all eyes, ophthalmic examination was performed in the same order: International Ocular Surface Disease Index survey, visual acuity assessment, conjunctival hyperemia scoring, tear osmolarity measurement with TearLab() Osmolarity System, tear film break-up time assessment, corneal fluorescein staining scoring, ocular surface Lissamine Green staining scoring, anesthetized Schirmer test."
3885,424,Dry eye severity was graded according to Dry Eye Workshop (DEWS) classification system.
3886,424,"RESULTS: Four eyes with grade 1, four eyes with grade 2, seven eyes with grade 3, and five eyes with grade 4 dryness, according to DEWS system, were included."
3887,424,"The mean tear osmolarity value was 301.911.40 mOsm/L (range: 290-328) in Group 1, and 294.858.33 mOsm/L (range: 283-311) in Group 2 (p=0.03)."
3888,424,"In Group 1, tear osmolarity values were positively correlated with OSDI scores (r(18)=0.55, r(2)=0.31, p=0.01), DEWS classification grades (r(18)=0.73, r(2)=0.54, p<0.01), temporal and total corneal staining scores (r(18)=0.67, r(2)=0.44, p<0.01, and r(18)=0.51, r(2)=0.26, p=0.02, respectively), temporal conjunctival staining scores (r(18)=58, r(2)=0.34, p<0.01); and negatively correlated with anesthetized Schirmer test results (r(18)=-0.62, r(2)=0.38, p<0.01) and TFBUT (r(18)=-0.50, r(2)=0.25, p=0.02)."
3889,424,"CONCLUSIONS: Tear osmolarity values were found to be greater in patients with dry eye syndrome related to primary SS compared to control subjects, and positively correlated with the severity of dry eye."
3890,425,We report 6 patients with an established diagnosis of primary Sjgren syndrome who developed severe rheumatoid arthritis (RA) requiring oral disease-modifying antirheumatic drug with or without biologic therapy.
3891,425,Rheumatoid arthritis was diagnosed between 14 months and 17 years following initial sicca symptoms.
3892,425,Five patients were female.
3893,425,"Two thirds were seropositive for Sjgren antibody, and 5 of 6 were either rheumatoid factor or anti-cyclic citrullinated peptide positive at the time of RA diagnosis."
3894,425,All had either hand or wrist involvement; one third had nodules.
3895,425,"Although none demonstrated erosion on x-ray, all required methotrexate or leflunomide, and 4 required a biologic agent for the treatment of their arthritis."
3896,425,Primary Sjgren patients may develop RA after a long course of stable Sjgren.
3897,426,"Sjogren-Larsson syndrome (SLS) is an autoimmune disease, uncommon in childhood."
3898,426,"We report a case of SLS in a 10-year-old girl with a history of tumor, calor and rubor in the back of her toes almost every month, which resolved in 4-5 days without therapy."
3899,426,She did not complain of dry mouth or dry eyes.
3900,426,"The laboratory findings showed high inflammation markers, rheumatoid factor 128 IU, Waaler-Rose 256 IU, anti nuclear antibody (ANA) 1/640, SSA (anti Sjogren antigen A) and SSB (anti Sjogren antigen B) positive and hypergammaglobulinemia."
3901,426,"The Schirmer's test resulted to be pathologic, the ultrasonography images and biopsy of minor salivary glands revealed focal periductal lymphocytic infiltrate and sialoduct ectasia class IV of juvenile Sjogren syndrome."
3902,426,The juvenile Sjogren syndrome is frequently under-diagnosed.
3903,426,"Clinical manifestations in children might be different from the adult form, although laboratory findings may be similar to those found in adults."
3904,427,We herein report the case of a female with Sjogren's syndrome (SS) complicated with trigeminal nerve palsy.
3905,427,"Although her sicca symptoms had been unnoticed, head magnetic resonance imaging (MRI) for detecting brain abnormalities revealed parotid gland changes associated with SS."
3906,427,SS should be considerd as a possible cause of trigeminal nerve disturbances.
3907,427,"In addition, parotid gland changes related to SS should be aware in examination of cranial nerve disturbances with MRI."
3908,428,"OBJECTIVE: The development of non-Hodgkin's lymphoma (NHL) confers a high risk of mortality in primary Sjgren's syndrome (pSS) patients, but the sensitivity and specificity of proposed lymphoma predictors are insufficient for practical use."
3909,428,The performance of lymphoid organisation in the form of germinal centre (GC)-like lesions was evaluated in labial salivary gland biopsies taken at pSS diagnosis as a potential lymphoma-predicting biomarker.
3910,428,METHODS: Labial salivary gland tissue biopsies available from two Swedish pSS research cohorts (n=175) were re-evaluated by light microscopy in a blind study in order to identify GC-like structures as a sign of ectopic lymphoid tissue formation and organisation.
3911,428,A linkage study was performed with the Swedish Cancer Registry for lymphoma identification.
3912,428,The risk of developing NHL in GC-positive patients in comparison with GC-negative patients was evaluated using Kaplan-Meier statistics and log-rank test.
3913,428,Associations between GC-like structures and clinical and/or laboratory disease markers were also determined using (2) or Fisher's exact tests.
3914,428,"RESULTS: At diagnosis, 25% of pSS patients had GC-like structures in their salivary glands."
3915,428,"Seven of the 175 patients studied (14% GC+ and 0.8% GC-) developed NHL during 1855 patient-years at risk, with a median onset of 7 years following the initial diagnostic salivary gland biopsy."
3916,428,Six of the seven patients had GC-like structures at diagnosis; the remaining patient was GC negative at the time of diagnosis (p=0.001).
3917,428,CONCLUSIONS: The detection of GC-like structures by light microscopy in pSS diagnostic salivary biopsies is proposed as a highly predictive and easy-to-obtain marker for NHL development.
3918,428,This allows for risk stratification of patients and the possibility to initiate preventive B-cell-directed therapy.
3919,429,Findings of specific antibodies and histopathology data are essential for the diagnosis of Sjgren syndrome (SS).
3920,429,"Although the minor salivary gland biopsy (MSGB) is technically simple, it needs to be performed in a medical institution to avoid complications."
3921,429,OBJECTIVE: To determine the frequency of complications and the usefulness of this technique.
3922,429,MATERIALS AND METHODS: Patients who underwent a minor salivary gland biopsy for a possible diagnosis of SS at Rivadavia Hospital between October 2007 and May 2010 where included.
3923,429,The patients were seen a week and a month after the procedure for follow up.
3924,429,"RESULTS: Frequency of acute complications (n=186): 15 patients; 8.1%, 95% CI: 4.7-13.2 (Bleeding 7.5%, syncope 3.2%, hematoma 2.7%."
3925,429,No accidents occurred).
3926,429,"Medium term complications (n=164): 16 patients: 9.75%, 95% CI: 5.9-15.6 (pain 7.32%, inflammation 3.66%, sensitivity disorders 3.05%, granuloma 1.22%,)."
3927,429,No infections or suture dehiscence occurred.
3928,429,"Microscopic results: 154 biopsy reports were received: glandular 90.9%, 95% CI: 85-95 (typical, sialadenitis, grade III and IV infiltration)."
3929,429,CONCLUSIONS: MSGB has very low frequency of medium term and acute complications and it has high usefulness.
3930,430,"Anti-Ro autoantibody is associated with Sjgren's syndrome (SS), systemic lupus erythematosus (SLE), and neonatal lupus syndrome (i.e., congenital complete heart block in newborns)."
3931,430,"Generally, the adult atrioventricular (AV) node is believed to be relatively resistant to the scarring effects of anti-Ro/anti-La autoantibodies."
3932,430,"However, there have been some reports of adult complete AV block in SS and SLE patients."
3933,430,"Here, we report a case of complete heart block in primary SS with anti-Ro autoantibodies, with no other risk factor for the development of heart block, and review their etiological association."
3934,431,"OBJECTIVES: Several histological scoring systems, including the focus score, performed in minor salivary glands (MSGs) by hematoxylin-eosin (H&E) staining, have been employed in clinical practice to assess the inflammatory infiltrate and provide the diagnosis of primary Sjogrens syndrome (pSS)."
3935,431,Aims of this study were to integrate different scoring systems and identify potential differences in the molecular profile of lymphoid cytokines related to germinal center (GC) formation and clinical subsets in pSS.
3936,431,"METHODS: Overall, 104 pSS patients and 40 subjects with sicca non-pSS were retrospectively evaluated."
3937,431,"MSG biopsies were evaluated by H&E and immunofluorescence to assess histological pattern, Chisholm and Mason grading system, Tarpley score, a grading for the severity of inflammatory infiltrate, T-/B-cell segregation, and the presence of GC."
3938,431,"MSGs from 50 pSS patients and 30 sicca non-pSS patients were processed by real-time PCR to assess LT, LT, BAFF, CXCR4, CXCL12, CXCR5, CXCL13, CCR7, CCL19, and CCL21."
3939,431,"RESULTS: GCs presence was associated with anti-Ro/SSA and anti-La/SSB antibodies, hypergammaglobulinemia, salivary gland swelling, higher Tarpley score and focus score, and extraglandular involvement but, at multivariate analysis, only extraglandular involvement was independently associated to GC."
3940,431,pSS patients displayed higher level of all cytokines compared to those with sicca symptoms.
3941,431,GC(+) pSS patients displayed higher level of all cytokines compared to those GC(-).
3942,431,"CONCLUSIONS: Our study demonstrates that different histopathological patterns, including GC presence, reflect different cytokine expression and different clinical subsets."
3943,431,We believe that the combined immunofluorescence/molecular approach in MSGs would help to tailor diagnostic and therapeutic approach for different subsets of pSS patients.
3944,432,"A 68-year-old female patient with Sjgren syndrome was admitted with asthenia, anorexia and weight loss."
3945,432,"On the third day of admission, she developed severe hematemesis."
3946,432,"Urgent upper gastrointestinal endoscopy (UGE) showed multiple gastric and duodenal ulcers, some with active bleeding requiring endoscopic therapy."
3947,432,The anatomopathologic examination was compatible with gastric and duodenal infiltration by a diffuse CD20+ large B cell lymphoma with germinal center B cell-like morphology.
3948,432,"And the patient was referred for chemotherapy with rituximab, cyclophosphamide, doxorubicin, vincristine and prednisolone."
3949,432,"Although seldom observed, the risk of lymphoma in Sjgren syndrome is up to 44 times higher than the general population and rises 7 years after diagnosis."
3950,432,We present a brief case report with interesting iconography.
3951,433,"Thrombotic thrombocytopenic purpura (TTP) is an uncommon, serious disease that involves multiple organs and is rapidly fatal if left untreated."
3952,433,"TTP is associated with multisystem symptoms, such as thrombocytopenia, microangiopathic hemolytic anemia, renal impairment, central nervous system involvement, and fever."
3953,433,TTP is idiopathic in about 37% of the cases and can be associated with autoimmune diseases in 13% of the cases.
3954,433,Autoimmune disease-associated TTP can be refractory to plasma exchange and requires immunosuppressive therapy.
3955,433,"We report a case of a previously healthy 55-year-old African American female who presented with shortness of breath, hemolytic anemia, renal impairment, and thrombocytopenia."
3956,433,"The diagnosis of TTP was made, and plasmapheresis was initiated."
3957,433,"However, recurrence happened 48 hours after plasmapheresis was stopped."
3958,433,"Autoimmune workup for refractory TTP revealed positive antinuclear antibodies, Anti-SSA, and Anti-SSB."
3959,433,Lip biopsy revealed findings consistent with Sjogren syndrome.
3960,433,"Treatment with Rituximab was started, and significant clinical and laboratory response was achieved."
3961,433,The patient remained asymptomatic thereafter.
3962,433,"A high clinical suspicion of autoimmune diseases is important as TTP tends to be refractory to plasma exchange in these cases, and immunosuppressive therapy is a key."
3963,434,The objective of the study is to compare the longitudinal performance of different classification criteria for primary Sjgren's syndrome (SS) in a cohort of patients previously diagnosed with primary SS.
3964,434,"In each patient, we repeated diagnostic tests as required by the Copenhagen, European, Californian, and American-European Consensus Group (AECG) or the new American College of Rheumatology (ACR) classification criteria."
3965,434,Sixty-three out of 90 eligible patients (70%) consented to participate.
3966,434,"During the follow-up (mean (standard deviation, SD) 7.6years (0.5)), we observed evolution from primary SS to SS with another systemic autoimmune disease (SAD) in 9/63 (14%) patients, on average after 4.0years (SD 0.9)."
3967,434,"The evolution from primary SS to SS-SADs was significantly more common if the diagnosis of primary SS was initially made using AECG (17%, p=0.008) or ACR (16%, p=0.016) criteria."
3968,434,"In the 34 patients who underwent a full diagnostic reassessment, the diagnosis retention rate was statistically significant for all the criteria, except the European criteria."
3969,434,"At reassessment, 3/32 (9%) patients initially diagnosed as having primary SS using the European criteria could not be classified as having primary SS by any of the criteria."
3970,434,The differences in classification when using the AECG and the new ACR criteria were not statistically significant.
3971,434,The longitudinal diagnosis retention rate was highest for the Californian and AECG criteria.
3972,434,"Regardless of the classification criteria, some patients eventually develop another SAD."
3973,435,The prevalence of abnormalities on brain magnetic resonance imaging (MRI) varies in primary Sjgren's syndrome (pSS) patients and they are generally multiple hyperintense areas in the subcortical and periventricular white matter on T2-weighted and fluid-attenuated inversion recovery sequences.
3974,435,"Here, we report brainstem involvement in a patient with pSS that was extensive on MRI, but reversible."
3975,435,The patient's outcome was positive.
3976,435,"To our knowledge, a similar case has not previously been described."
3977,436,OBJECTIVES: To evaluate the efficacy of rituximab in central nervous system (CNS) manifestations of patients with primary Sjgren's syndrome (pSS).
3978,436,METHODS: Prospective data from patients with pSS and CNS involvement included in the French AutoImmunity and Rituximab registry were analysed.
3979,436,All patients had diffuse white matter T2-weigted hypersignals.
3980,436,Neurological response was defined as improvement or disappearance of neurological signs.
3981,436,RESULTS: Eleven patients (mean age 55 years [38-77]) were treated with rituximab for their neurological involvement.
3982,436,The mean duration of pSS was 9 years (4-24).
3983,436,Mean baseline ESSDAI score was 17 (5-25).
3984,436,"Neurological features were progressive multiple sclerosis-like manifestations (n=6), transverse myelitis (n=1), anxiety and depression disorder (n=1) and cognitive dysfunction (n=3)."
3985,436,Mean Expanded Disability Status Score (EDSS) before rituximab was 4 (3-5.5).
3986,436,The mean follow-up was of 13 months (6-58).
3987,436,"No neurological change occurred in all 6 patients with multiple sclerosis-like symptoms, in 2/3 patients with cognitive dysfunction or in the patient with anxiety-depression."
3988,436,One patient with depression and cognitive dysfunction disclosed subjective improvement.
3989,436,"One patient with transverse myelitis, refractory to cyclophosphamide had an improvement of his walk perimeter (160 meters vs. 116)."
3990,436,Mean EDSS score and ESSDAI remained stable.
3991,436,CONCLUSIONS: Rituximab does not seem to be effective in progressive multiple sclerosis-like manifestations of patients with pSS-related CNS involvement.
3992,437,Sjgren's syndrome (SS) may be complicated by neurological manifestations.
3993,437,We herein report three women (age range 26-60 years old) who all presented with limbic encephalitis (LE) as the predominant clinical feature 3 months to 15 years after the diagnosis of SS.
3994,437,The 26-year-old patient also developed acute motor axonal neuropathy one week after autoimmune encephalitis.
3995,437,"All three patients showed contrast-enhanced MRI lesions and inflammatory cerebrospinal fluid findings, while not displaying any anti-neuronal antibodies and showing a remarkable response to immunotherapy."
3996,437,SS is often overlooked when the symptoms are mild.
3997,437,"Therefore, in LE cases with no identifiable cause, serological screening for rheumatologic disorders is recommended."
3998,438,"Sweet disease (SD) is a multisystem inflammatory disorder characterised by fever, cutaneous erythematous plaques and aseptic neutrophilic infiltration of various organs."
3999,438,Neuro-Sweet disease (NSD) is a known rare central nervous system complication of SD.
4000,438,We describe a case of a 39-year-old Japanese woman who was diagnosed as NSD associated with Sjgren's syndrome.
4001,438,She was successfully treated with systemic corticosteroid therapy.
4002,439,INTRODUCTION: Interstitial lung disease associated with primary Sjgren's syndrome (pSS-ILD) shows several patterns such as nonspecific interstitial pneumonia (NSIP) and usual interstitial pneumonia (UIP).
4003,439,"Although UIP is a well-recognized prognostic determinant in idiopathic interstitial pneumonias, whether this is also the case in pSS-ILD is unclear."
4004,439,"The objectives of this study were to evaluate the prognostic effect of UIP, and to identify the prognostic factors in pSS-ILD."
4005,439,METHODS: A retrospective review of medical records identified 33 consecutive patients with pathologically-proven pSS-ILD.
4006,439,Each patient was classified into each ILD pattern by multidisciplinary analysis.
4007,439,Baseline clinical-radiologic-pathologic characteristics and survival rates were compared between the ILD patterns.
4008,439,"Finally, the prognostic factors in pSS-ILD were assessed by univariate and subsequent multivariate analyses using Cox's proportional hazards regression model."
4009,439,RESULTS: pSS-ILD patients were diagnosed with NSIP (n = 22) or UIP (n = 11).
4010,439,"The median follow-up period was 110 months, and five-year survival rate was 87.3% in the total patient population."
4011,439,"The prognosis of the UIP patients was not significantly different from that of the NSIP patients (NSIP to UIP, hazard ratio [HR]: 0.77, 95% confidence interval [CI]: 0.18-3.36, P = 0.73)."
4012,439,"Multivariate analysis identified PaCO2 (HR: 1.68 per 1 Torr increase, 95% CI: 1.24-2.28, P < 0.01), extent of reticular abnormality on high-resolution CT (HR: 4.17 per 1-grade increment, 95% CI: 1.18-14.73, P = 0.03), and severity of fibroblastic foci (HR: 9.26 per 1-grade increment, 95% CI: 1.74-49.35, P < 0.01) as prognostic factors in pSS-ILD."
4013,439,CONCLUSIONS: UIP in pSS-ILD was not related to poorer prognosis than NSIP.
4014,439,Assessment of detailed clinical-radiologic-pathologic findings is more important than distinguishing UIP to evaluate prognosis in this disease.
4015,440,Ocular and oral dryness are the hallmark of Sjgren's syndrome (SS).
4016,440,"However, SS can be associated with a variety of complications, affecting organs such as the liver, kidneys, lungs, muscle, and nervous system."
4017,440,Renal involvement has been usually in the form of tubulointerstitial nephritis.
4018,440,"However, glomerulonephritis is rare in primary SS."
4019,440,"We report three clinical cases of SS with anti-neutrophil cytoplasmic antibody-mediated crescentic glomerulo-nephritis treated with prednisone and cyclophosphamide, with favorable outcome."
4020,441,Primary Sjgren's syndrome is an autoimmune disease presenting classically as keratoconjunctivitis sicca.
4021,441,"Renal involvement in Sjgrens's syndrome is less common, and the initial presentation with renal complications without any sicca symptoms is extremely rare."
4022,441,"The renal involvement may present with symptoms arising from interstitial nephritis, mainly distal renal tubular acidosis."
4023,442,"Meningitis is the main manifestation of cryptococcosis in adult systemic lupus erythematosus (SLE) patients, and other organs and systems, such as the lungs, are rarely affected in this fungal infection."
4024,442,"To our knowledge, no case of pulmonary cryptococcosis has been described in the pediatric lupus population."
4025,442,"Therefore, we report herein one patient with childhood SLE (C-SLE) and Sjgren's syndrome overlap that presented encapsulated Cryptococcus yeast cells in lung tissue."
4026,442,A 14-year-old girl was diagnosed with C-SLE.
4027,442,"At the age of 16 years and 5 months, she presented with fever, cough and dyspnea, without headache, vomiting, and also without signs of meningeal irritation or other clinical manifestations."
4028,442,"She was being treated with mycophenolate mofetil, hydroxychloroquine and prednisone."
4029,442,Chest radiography and chest computer tomography showed a single nodule in the left posterior apex and three nodular lesions in the left hemithorax respectively.
4030,442,Bronchoalveolar lavage and transbronchial biopsy were normal and without isolation of bacteria or fungi.
4031,442,Voriconazole was empirically introduced for 21 days.
4032,442,"Fifteen days after the first biopsy, she underwent open thoracotomy with surgical left lung biopsy and was diagnosed with pulmonary cryptococcosis."
4033,442,Voriconazole was replaced with oral fluconazole and this antifungal therapy was maintained with improvement of clinical manifestations and without marked alteration of radiological images.
4034,442,"In conclusion, we report the first case of pulmonary cryptococcosis in Sjgren's and C-SLE patient with a satisfactory clinical response to antifungal therapy."
4035,442,Fungal infections should be excluded in the presence of lung nodules and etiological identification is required for proper treatment.
4036,443,"Not only in the context of clinical trials in particular, but also in daily clinical practice, outcome parameters or measuring instruments are essential to assess the efficacy of a therapeutic intervention, its influence on disease activity and potentially also to predict further disease course."
4037,443,Such criteria can assist in the identification of patient risk groups that may require special checkups or interventions.
4038,443,"Moreover, these parameters should be reliable, objective and valid, e.g."
4039,443,to allow comparison of results from different studies.
4040,443,"Therefore, outcome parameters need to be developed and/or validated in a targeted manner for individual diseases or investigations."
4041,443,"To date, we have only limited therapeutic options for Sjgren's syndrome, a frequent systemic autoimmune disorder of unknown origin."
4042,443,"Against the background of the new therapy approaches expected, this article provides a critical overview of available and newly developed outcome parameters for patients with Sjgren's syndrome."
4043,444,OBJECTIVE: To assess salivary gland ultrasonography (US) as a diagnostic tool for secondary Sjgren syndrome (sSS) in patients with rheumatoid arthritis (RA).
4044,444,METHODS: Salivary gland US images from 30 patients with RA were graded using a validated semiquantitative scoring system.
4045,444,"Sicca symptoms, oral health, and RA disease activity were assessed."
4046,444,RESULTS: US changes consistent with SS were found in 40% of patients.
4047,444,Patients with higher US scores had more sicca symptoms as well as higher RA activity and poorer oral health.
4048,444,CONCLUSION: Salivary gland US may aid the diagnosis of sSS in patients with RA.
4049,445,"A 61-year-old man developed subacute progressive dementia, general fatigue, a tonic-clonic seizure, and a decreased level of consciousness."
4050,445,He had a past history of chronic hepatitis type C and was diagnosed as having hepatic encephalopathy due to hyperammonemia.
4051,445,His level of consciousness did not improve even though the serum ammonia level improved.
4052,445,"In addition, he had repeated general myoclonic seizures."
4053,445,"Head MRI (diffusion-weighted imaging) showed high signal intensities in the right thalamus and the cerebral cortices in the frontal, temporal and parietal lobes (predominantly on the right side)."
4054,445,An electroencephalogram (EEG) showed periodic lateralized epileptic discharges (PLEDs).
4055,445,Cerebrospinal fluid analysis revealed high total tau protein and 14-3-3 protein levels.
4056,445,This case was diagnosed as Creutzfeldt-Jakob disease (CJD) based on these clinical data.
4057,445,"However, the patient gradually improved without specific treatment."
4058,445,"The differential diagnosis was reconsidered, and an increased erythrocyte sedimentation rate and positive serum anti-SS-A and anti-SS-B antibodies were noted."
4059,445,A diagnosis of Sjgren syndrome (SjS) was finally made based on a biopsy of a minor salivary gland showing infiltration of lymphocytes around the gland ducts.
4060,445,"Steroid therapy (prednisolone 40mg/day orally) was given, and his clinical condition improved."
4061,445,"The lesions on the head MRI decreased, and the EEG findings normalized."
4062,445,"This case suggests that SjS has a wide spectrum, including neurological disorders, and that SjS should be considered in the differential diagnosis of CJD."
4063,446,"OBJECTIVE: In this study, we aimed to investigate endothelial functions in primary Sjgren syndrome."
4064,446,METHODS: Thirty-five patients with primary Sjgren syndrome and 20 age and sex-matched healthy volunteers were recruited to the present study.
4065,446,Flow mediated dilatation of brachial artery and carotid intima-media thickness were measured in the study population.
4066,446,"RESULTS: Carotid intima-media thickness values were similar between groups (0.50 +/- 0.10, 0.53 +/- 0.08, p > 0.05)."
4067,446,"Flow mediated dilatation of the brachial artery was disrupted in the primary Sjgren syndrome group (7% vs 12%, p = 0.002)."
4068,446,"CONCLUSION: There is endothelial dysfunction in patients with primary Sjgren syndrome, although they had comparable carotid intima-media thickness with the healthy control group."
4069,447,"Osteomalacia is a relatively common condition, which is frequently underdiagnosed due to lack of clinical suspicion and non-specific symptoms."
4070,447,Osteomalacia can complicate tubulo-interstital nephritis.
4071,447,"However, it occurs exceptionally as the first manifestation of Sjgren syndrome with renal involvement."
4072,447,It is a consequence of chronic metabolic acidosis and is associated with distal renal tubular acidosis.
4073,447,We report a 31-year-old woman hospitalised for a 1 year history of muscle weakness and joint and chest wall pains.
4074,447,Skeletal imagery showed Looser's zones in the left femoral neck.
4075,447,Investigations concluded to the diagnosis of primary Sjogren's syndrome.
4076,448,A 31-year-old female teacher presented with a 6-month history of progressive hoarseness.
4077,448,The rigid laryngeal endoscopy showed corresponding transversal cream-yellow nodular lesions in the submucosal space of the middle third of both vocal folds.
4078,448,These are characteristic for bamboo nodes which are rare and strongly associated with autoimmune disease.
4079,448,In the present case a hitherto undiscovered Sjgren syndrome was diagnosed.
4080,448,"After surgical excision, local steroid therapy and voice training a considerable voice improvement could be achieved."
4081,449,"OBJECTIVE: The aim of the present study was to evaluate two different ways of measuring unstimulated and stimulated whole salivary output in the dental clinic, namely by volume (mL/min) and by weight (g/min)."
