,File Name with extension,File Name,Term,Span,Class
737,sentence_654,sentence_654.txt,xerostomia,"( 145,155)",Signs and Symptoms
604,sentence_392,sentence_392.txt,oral and ocular dryness.,"( 42,66)",Signs and Symptoms
1122,sentence_2117,sentence_2117.txt,parotid scintigraphy,"( 59,79)",Diagnostic Tests
1583,sentence_2438,sentence_2438.txt,spiking fever,"( 65,78)",Signs and Symptoms
1765,sentence_2585,sentence_2585.txt,dry eye.,"( 76,84)",Signs and Symptoms
1544,sentence_2410,sentence_2410.txt,cough,"( 36,41)",Signs and Symptoms
383,sentence_1792,sentence_1792.txt,minor salivary gland biopsy,"( 142,169)",Diagnostic Tests
1806,sentence_2634,sentence_2634.txt,women,"( 55,60)",Signs and Symptoms
1295,sentence_2252,sentence_2252.txt,salivary gland ultrasonography,"( 33,64)",Diagnostic Tests
1274,sentence_2238,sentence_2238.txt,immune-mediated cytopenia,"( 21,46)",Associated Conditions
1343,sentence_2293,sentence_2293.txt,distal RTA,"( 31,41)",Associated Conditions
847,sentence_800,sentence_800.txt,salivary gland ultrasonography,"( 66,96)",Diagnostic Tests
260,sentence_1539,sentence_1539.txt,lymphoma.,"( 203,212)",Associated Conditions
1451,sentence_2351,sentence_2351.txt,absent vibration sensations,"( 53,80)",Signs and Symptoms
779,sentence_681,sentence_681.txt,ANA,"( 231,234)",Diagnostic Tests
74,sentence_1090,sentence_1090.txt,Schirmers I test,"( 0,16)",Diagnostic Tests
1548,sentence_2410,sentence_2410.txt,dry eyes,"( 104,112)",Signs and Symptoms
1318,sentence_2274,sentence_2274.txt,ocular staining score,"( 56,77)",Diagnostic Tests
1332,sentence_2283,sentence_2283.txt,lymphoma,"( 38,46)",Associated Conditions
1497,sentence_2387,sentence_2387.txt,cryoglobulinaemia.,"( 89,107)",Associated Conditions
917,sentence_2002,sentence_2002.txt,AECG criteria,"( 150,163)",Diagnostic Tests
1308,sentence_2262,sentence_2262.txt,salivary gland tissue biopsies,"( 162,192)",Diagnostic Tests
541,sentence_293,sentence_293.txt,fatigue.,"( 83,91)",Signs and Symptoms
567,sentence_35,sentence_35.txt,Schirmer test,"( 121,134)",Diagnostic Tests
154,sentence_1304,sentence_1304.txt,dry eye.,"( 140,148)",Signs and Symptoms
1183,sentence_2140,sentence_2140.txt,scleroderma,"( 70,81)",Associated Conditions
1252,sentence_2212,sentence_2212.txt,positive parotid sialography,"( 163,191)",Signs and Symptoms
143,sentence_127,sentence_127.txt,peripheral neuropathies,"( 119,142)",Associated Conditions
682,sentence_540,sentence_540.txt,ILD,"( 59,62)",Associated Conditions
858,sentence_834,sentence_834.txt,postmenopausal women.,"( 75,96)",Risk Factors
1584,sentence_2438,sentence_2438.txt,shortness of breath.,"( 91,111)",Signs and Symptoms
451,sentence_1949,sentence_1949.txt,dry eye,"( 17,24)",Signs and Symptoms
1535,sentence_2408,sentence_2408.txt,sicca symptoms,"( 96,110)",Signs and Symptoms
1049,sentence_2075,sentence_2075.txt,polyarthralgia,"( 66,80)",Signs and Symptoms
8,sentence_1005,sentence_1005.txt,sicca,"( 147,152)",Signs and Symptoms
1642,sentence_2466,sentence_2466.txt,fatigue,"( 29,36)",Signs and Symptoms
1093,sentence_2101,sentence_2101.txt,sialometry,"( 149,159)",Diagnostic Tests
1177,sentence_2138,sentence_2138.txt,dry keratoconjunctivitis,"( 145,169)",Signs and Symptoms
550,sentence_309,sentence_309.txt,lymphocytic sialadenitis.,"( 241,266)",Associated Conditions
145,sentence_128,sentence_128.txt,sensorimotor neuropathies,"( 19,44)",Associated Conditions
1805,sentence_2634,sentence_2634.txt,women,"( 55,60)",Risk Factors
1277,sentence_2241,sentence_2241.txt,Schirmer's test,"( 65,80)",Signs and Symptoms
1678,sentence_2503,sentence_2503.txt,Amyloidosis,"( 14,25)",Associated Conditions
1437,sentence_2347,sentence_2347.txt,atrophy of her salivary glands,"( 38,68)",Signs and Symptoms
115,sentence_1185,sentence_1185.txt,women,"( 30,35)",Associated Conditions
753,sentence_666,sentence_666.txt,dry eye,"( 148,155)",Signs and Symptoms
878,sentence_880,sentence_880.txt,salivary gland ultrasonography,"( 58,89)",Diagnostic Tests
125,sentence_1209,sentence_1209.txt,fatigue,"( 23,30)",Signs and Symptoms
1762,sentence_2579,sentence_2579.txt,NMT.,"( 115,119)",Signs and Symptoms
181,sentence_1364,sentence_1364.txt,sicca,"( 50,55)",Signs and Symptoms
668,sentence_519,sentence_519.txt,arterial stiffness,"( 47,65)",Associated Conditions
1674,sentence_2490,sentence_2490.txt,head and neck radiation therapy.,"( 262,294)",Associated Conditions
738,sentence_656,sentence_656.txt,xerostomia,"( 69,79)",Signs and Symptoms
223,sentence_1442,sentence_1442.txt,dryness,"( 375,382)",Signs and Symptoms
597,sentence_376,sentence_376.txt,oral dryness.,"( 65,78)",Signs and Symptoms
1533,sentence_2407,sentence_2407.txt,acute optic neuritis,"( 118,138)",Associated Conditions
1594,sentence_2445,sentence_2445.txt,diabetes,"( 99,107)",Associated Conditions
467,sentence_1999,sentence_1999.txt,rhinitis sicca,"( 72,86)",Signs and Symptoms
99,sentence_1153,sentence_1153.txt,scintigraphy,"( 50,62)",Diagnostic Tests
908,sentence_938,sentence_938.txt,anti-SS-A,"( 129,138)",Diagnostic Tests
1549,sentence_2410,sentence_2410.txt,abdominal pain,"( 63,77)",Signs and Symptoms
1036,sentence_2065,sentence_2065.txt,systemic manifestations,"( 154,177)",Associated Conditions
1248,sentence_2205,sentence_2205.txt,systemic lupus erythematosus (SLE),"( 42,76)",Associated Conditions
938,sentence_2008,sentence_2008.txt,xerostomia,"( 58,68)",Signs and Symptoms
1444,sentence_2350,sentence_2350.txt,ataxia,"( 118,124)",Signs and Symptoms
256,sentence_1530,sentence_1530.txt,salivary gland ultrasonography,"( 76,106)",Diagnostic Tests
239,sentence_1462,sentence_1462.txt,vasculitis,"( 154,164)",Signs and Symptoms
1315,sentence_2270,sentence_2270.txt,salivary gland biopsy,"( 54,75)",Diagnostic Tests
1637,sentence_2466,sentence_2466.txt,myalgia,"( 38,45)",Signs and Symptoms
1635,sentence_2465,sentence_2465.txt,sicca symptoms,"( 5,19)",Signs and Symptoms
215,sentence_1423,sentence_1423.txt,fatigue.,"( 83,91)",Signs and Symptoms
1520,sentence_2400,sentence_2400.txt,minor salivary gland biopsy.,"( 158,186)",Diagnostic Tests
1832,sentence_2685,sentence_2685.txt,fatigue.,"( 80,88)",Signs and Symptoms
1800,sentence_2631,sentence_2631.txt,LPR,"( 0,3)",Associated Conditions
1268,sentence_2223,sentence_2223.txt,dry eyes,"( 127,135)",Signs and Symptoms
1208,sentence_2185,sentence_2185.txt,necrotizing keratoscleritis,"( 23,50)",Associated Conditions
1640,sentence_2466,sentence_2466.txt,Raynaud,"( 103,110)",Signs and Symptoms
1605,sentence_2446,sentence_2446.txt,parotid enlargement,"( 27,46)",Signs and Symptoms
701,sentence_59,sentence_59.txt,women,"( 56,61)",Risk Factors
1327,sentence_2280,sentence_2280.txt,lymphoma,"( 86,94)",Associated Conditions
305,sentence_166,sentence_166.txt,RA,"( 119,121)",Associated Conditions
423,sentence_1907,sentence_1907.txt,sialendoscopy,"( 177,190)",Diagnostic Tests
1480,sentence_2382,sentence_2382.txt,interstitial lung disease,"( 46,71)",Associated Conditions
643,sentence_483,sentence_483.txt,hypergammaglobulinemia,"( 130,152)",Signs and Symptoms
1397,sentence_2320,sentence_2320.txt,malar rash,"( 28,38)",Signs and Symptoms
1781,sentence_2601,sentence_2601.txt,SSB.,"( 97,101)",Diagnostic Tests
934,sentence_2005,sentence_2005.txt,B antibodies,"( 10,22)",Diagnostic Tests
1132,sentence_2118,sentence_2118.txt,positive rheumatoid factor,"( 164,191)",Diagnostic Tests
651,sentence_496,sentence_496.txt,sicca,"( 125,130)",Signs and Symptoms
1072,sentence_2092,sentence_2092.txt,RTA.,"( 74,78)",Associated Conditions
842,sentence_79,sentence_79.txt,Ro-SSA,"( 80,86)",Diagnostic Tests
359,sentence_1731,sentence_1731.txt,Sicca,"( 0,5)",Signs and Symptoms
856,sentence_831,sentence_831.txt,Interstitial lung disease,"( 0,25)",Risk Factors
444,sentence_1944,sentence_1944.txt,salivary gland ultrasonography,"( 54,84)",Diagnostic Tests
1652,sentence_2480,sentence_2480.txt,voice disorders,"( 55,70)",Signs and Symptoms
114,sentence_1177,sentence_1177.txt,labial gland pathology,"( 166,188)",Diagnostic Tests
1066,sentence_2089,sentence_2089.txt,parotid gland shear wave velocity (SWV),"( 30,69)",Diagnostic Tests
902,sentence_93,sentence_93.txt,dryness,"( 148,155)",Signs and Symptoms
627,sentence_42,sentence_42.txt,erythrocyte sedimentation rate,"( 136,166)",Diagnostic Tests
333,sentence_17,sentence_17.txt,B-cell lymphoma.,"( 150,166)",Associated Conditions
1276,sentence_2241,sentence_2241.txt,anti-SSA/Ro tilter,"( 36,54)",Diagnostic Tests
1740,sentence_2553,sentence_2553.txt,sialography,"( 102,113)",Diagnostic Tests
1051,sentence_2075,sentence_2075.txt,polyarthralgia,"( 66,80)",Signs and Symptoms
1498,sentence_2389,sentence_2389.txt,Schirmer test,"( 55,68)",Diagnostic Tests
240,sentence_1462,sentence_1462.txt,SLE,"( 213,216)",Associated Conditions
14,sentence_1009,sentence_1009.txt,salivary gland biopsy,"( 104,125)",Diagnostic Tests
220,sentence_1434,sentence_1434.txt,sicca,"( 320,325)",Signs and Symptoms
566,sentence_35,sentence_35.txt,erythrocyte sedimentation rate,"( 86,116)",Diagnostic Tests
572,sentence_354,sentence_354.txt,patient global assessment (PGA,"( 158,188)",Diagnostic Tests
1730,sentence_2550,sentence_2550.txt,sialography,"( 52,63)",Diagnostic Tests
1697,sentence_2516,sentence_2516.txt,xerophthalmia,"( 29,42)",Signs and Symptoms
1846,sentence_2696,sentence_2696.txt,pulpitis,"( 61,69)",Associated Conditions
217,sentence_1434,sentence_1434.txt,xerophthalmia,"( 165,178)",Signs and Symptoms
1695,sentence_2516,sentence_2516.txt,xerophthalmia,"( 29,42)",Signs and Symptoms
157,sentence_1325,sentence_1325.txt,salivary gland enlargement,"( 0,26)",Signs and Symptoms
1180,sentence_2140,sentence_2140.txt,scleroderma,"( 70,81)",Associated Conditions
488,sentence_24,sentence_24.txt,fatigue,"( 19,26)",Signs and Symptoms
1,sentence_1,sentence_1.txt,xerostomia,"( 41,51)",Signs and Symptoms
127,sentence_1232,sentence_1232.txt,anti-Ro,"( 44,51)",Diagnostic Tests
325,sentence_1681,sentence_1681.txt,fatigue,"( 198,205)",Signs and Symptoms
1726,sentence_2548,sentence_2548.txt,sialography,"( 79,90)",Diagnostic Tests
1518,sentence_2400,sentence_2400.txt,positive serum anti-Ro/SSA,"( 93,119)",Diagnostic Tests
760,sentence_668,sentence_668.txt,rose bengal staining score,"( 60,86)",Diagnostic Tests
454,sentence_1953,sentence_1953.txt,female gender,"( 104,117)",Risk Factors
1029,sentence_2060,sentence_2060.txt,SLE,"( 102,105)",Associated Conditions
1130,sentence_2118,sentence_2118.txt,parotid enlargement,"( 48,67)",Signs and Symptoms
1679,sentence_2505,sentence_2505.txt,localized amyloidosis,"( 66,87)",Associated Conditions
1651,sentence_2471,sentence_2471.txt,recurrent parotid swelling,"( 50,76)",Signs and Symptoms
932,sentence_2005,sentence_2005.txt,SS-A and -B antibodies,"( 0,22)",Diagnostic Tests
544,sentence_30,sentence_30.txt,biopsy,"( 86,92)",Diagnostic Tests
606,sentence_394,sentence_394.txt,xerostomia,"( 71,81)",Signs and Symptoms
319,sentence_1671,sentence_1671.txt,ocular and oral dryness.,"( 79,103)",Signs and Symptoms
344,sentence_1715,sentence_1715.txt,minor salivary gland biopsies,"( 35,64)",Diagnostic Tests
397,sentence_1838,sentence_1838.txt,systemic lupus erythematosus,"( 181,209)",Associated Conditions
1847,sentence_2696,sentence_2696.txt,stomatitis,"( 83,93)",Associated Conditions
1523,sentence_2403,sentence_2403.txt,neuromyelitis,"( 123,136)",Signs and Symptoms
1067,sentence_2090,sentence_2090.txt,Acoustic radiation force impulses sonoelastography,"( 13,63)",Diagnostic Tests
1457,sentence_2356,sentence_2356.txt,Sicca symptoms,"( 54,68)",Signs and Symptoms
1309,sentence_2262,sentence_2262.txt,salivary gland inflammation,"( 6,33)",Signs and Symptoms
68,sentence_1086,sentence_1086.txt,xerophthalmia,"( 47,60)",Signs and Symptoms
471,sentence_204,sentence_204.txt,interstitial lung disease,"( 44,69)",Associated Conditions
1135,sentence_2118,sentence_2118.txt,low C4 levels,"( 254,268)",Diagnostic Tests
1190,sentence_2154,sentence_2154.txt,anti SS-B,"( 114,123)",Diagnostic Tests
899,sentence_92,sentence_92.txt,oral dryness,"( 47,59)",Signs and Symptoms
730,sentence_646,sentence_646.txt,Salivary flow rates,"( 0,19)",Diagnostic Tests
1489,sentence_2382,sentence_2382.txt,subacute cutaneous LE,"( 123,144)",Associated Conditions
910,sentence_958,sentence_958.txt,lymphoma.,"( 97,106)",Associated Conditions
939,sentence_2008,sentence_2008.txt,KCS,"( 80,85)",Signs and Symptoms
1090,sentence_2101,sentence_2101.txt,biomarkers,"( 177,187)",Diagnostic Tests
302,sentence_1658,sentence_1658.txt,salivary gland (SG) ultrasonography,"( 6,41)",Diagnostic Tests
135,sentence_1250,sentence_1250.txt,systemic lupus erythematosus,"( 79,107)",Associated Conditions
1240,sentence_2198,sentence_2198.txt,Salivary glands ultrasound was,"( 0,30)",Diagnostic Tests
648,sentence_486,sentence_486.txt,oral dryness,"( 125,137)",Signs and Symptoms
781,sentence_684,sentence_684.txt,gland sialography.,"( 139,157)",Diagnostic Tests
356,sentence_1726,sentence_1726.txt,mixed connective tissue disease,"( 190,221)",Associated Conditions
1271,sentence_2227,sentence_2227.txt,75-year-old,"( 28,39)",Risk Factors
1430,sentence_2343,sentence_2343.txt,rhabdomyolysis,"( 99,113)",Associated Conditions
1532,sentence_2407,sentence_2407.txt,Optic neuropathy,"( 13,29)",Associated Conditions
1802,sentence_2632,sentence_2632.txt,GERD,"( 112,116)",Associated Conditions
1330,sentence_2281,sentence_2281.txt,lymphoma,"( 71,79)",Associated Conditions
703,sentence_596,sentence_596.txt,Sonoelastography,"( 160,176)",Diagnostic Tests
1561,sentence_2420,sentence_2420.txt,xerophthalmia,"( 80,93)",Signs and Symptoms
767,sentence_670,sentence_670.txt,rose bengal staining,"( 71,91)",Diagnostic Tests
1300,sentence_2256,sentence_2256.txt,Sicca symptoms of the mouth and eyes,"( 0,36)",Signs and Symptoms
85,sentence_111,sentence_111.txt,sicca,"( 98,103)",Associated Conditions
33,sentence_1033,sentence_1033.txt,SLE,"( 17,20)",Associated Conditions
339,sentence_1711,sentence_1711.txt,lymphoma,"( 30,38)",Associated Conditions
585,sentence_365,sentence_365.txt,"tingling, and disabling fatigue.","( 219,251)",Signs and Symptoms
340,sentence_1712,sentence_1712.txt,lymphoma.,"( 116,125)",Associated Conditions
1196,sentence_2155,sentence_2155.txt,minor salivary ducts biopsy,"( 24,51)",Diagnostic Tests
503,sentence_26,sentence_26.txt,pale,"( 13,17)",Signs and Symptoms
58,sentence_1075,sentence_1075.txt,dry mouth,"( 59,68)",Signs and Symptoms
1621,sentence_2450,sentence_2450.txt,SS-A and SS-B autoantibodies.,"( 34,63)",Signs and Symptoms
44,sentence_1043,sentence_1043.txt,arthritis,"( 120,129)",Associated Conditions
1443,sentence_2349,sentence_2349.txt,interstitial nephritis,"( 103,125)",Associated Conditions
466,sentence_1999,sentence_1999.txt,keratoconjunctivis sicca,"( 36,60)",Signs and Symptoms
1007,sentence_2048,sentence_2048.txt,Proteomics,"( 19,29)",Diagnostic Tests
694,sentence_570,sentence_570.txt,arthritis,"( 79,88)",Associated Conditions
414,sentence_1866,sentence_1866.txt,non-Hodgkin's lymphoma ,"( 144,167)",Associated Conditions
1001,sentence_2040,sentence_2040.txt,IHC scores of subcellular EpEX/EpICD,"( 4,40)",Diagnostic Tests
988,sentence_2032,sentence_2032.txt,extracellular domain of EpCAM (EpEX),"( 168,204)",Diagnostic Tests
1334,sentence_2288,sentence_2288.txt,lymphoma.,"( 130,139)",Associated Conditions
633,sentence_450,sentence_450.txt,salivary gland biopsy.,"( 79,101)",Diagnostic Tests
343,sentence_1714,sentence_1714.txt,lymphomas,"( 18,27)",Associated Conditions
198,sentence_1408,sentence_1408.txt,vasculitis,"( 69,79)",Associated Conditions
1545,sentence_2410,sentence_2410.txt,dyspnea,"( 54,61)",Signs and Symptoms
1759,sentence_2578,sentence_2578.txt,Neuromyotonia,"( 0,13)",Signs and Symptoms
401,sentence_184,sentence_184.txt,inflammatory musculoskeletal pain.,"( 149,183)",Signs and Symptoms
949,sentence_2010,sentence_2010.txt,Parotid glands diffusion-weighted imaging (DWI),"( 12,59)",Diagnostic Tests
1587,sentence_2445,sentence_2445.txt,HIV,"( 219,222)",Signs and Symptoms
1168,sentence_2130,sentence_2130.txt,Fatigue,"( 47,54)",Signs and Symptoms
1423,sentence_2338,sentence_2338.txt,Anti-SSB-positive,"( 88,105)",Diagnostic Tests
407,sentence_1850,sentence_1850.txt,non-Hodgkin lymphoma.,"( 58,79)",Associated Conditions
1232,sentence_2196,sentence_2196.txt,polyarthralgia,"( 99,113)",Signs and Symptoms
417,sentence_1891,sentence_1891.txt,dry eye,"( 141,148)",Signs and Symptoms
1335,sentence_2289,sentence_2289.txt,renal tubular acidosis (RTA,"( 72,99)",Associated Conditions
1387,sentence_2319,sentence_2319.txt,woman,"( 27,32)",Risk Factors
203,sentence_1415,sentence_1415.txt,fatigue,"( 43,50)",Signs and Symptoms
1204,sentence_2168,sentence_2168.txt,female,"( 22,28)",Risk Factors
170,sentence_1354,sentence_1354.txt,anti-nuclear antibodies,"( 34,57)",Diagnostic Tests
1809,sentence_2643,sentence_2643.txt,musculoskeletal pain.,"( 312,333)",Signs and Symptoms
966,sentence_2026,sentence_2026.txt,bronchiectasis,"( 39,53)",Associated Conditions
1465,sentence_2361,sentence_2361.txt,sarcoidosis,"( 150,161)",Associated Conditions
1798,sentence_2631,sentence_2631.txt,LPR,"( 0,3)",Associated Conditions
984,sentence_2031,sentence_2031.txt,high frequency of anti-SMA,"( 193,219)",Diagnostic Tests
678,sentence_53,sentence_53.txt,anti-Ro / SSA,"( 32,45)",Diagnostic Tests
1831,sentence_2685,sentence_2685.txt,parotid gland swelling,"( 32,54)",Signs and Symptoms
1717,sentence_2545,sentence_2545.txt,Parotid sialography,"( 9,28)",Diagnostic Tests
1362,sentence_2306,sentence_2306.txt,renal tubular acidosis,"( 158,180)",Associated Conditions
1143,sentence_2124,sentence_2124.txt,parotid scintigraphy,"( 66,86)",Diagnostic Tests
740,sentence_656,sentence_656.txt,fatigue,"( 103,110)",Signs and Symptoms
715,sentence_610,sentence_610.txt,dry eye,"( 202,209)",Signs and Symptoms
162,sentence_1330,sentence_1330.txt,dry eye,"( 83,90)",Signs and Symptoms
935,sentence_2007,sentence_2007.txt,sicca symptoms,"( 117,131)",Signs and Symptoms
1012,sentence_2051,sentence_2051.txt,Plummer-Vinson syndrome,"( 43,66)",Associated Conditions
119,sentence_1197,sentence_1197.txt,SSc,"( 95,98)",Associated Conditions
1039,sentence_2069,sentence_2069.txt,B-lymphocytes.,"( 45,59)",Diagnostic Tests
1073,sentence_2093,sentence_2093.txt,xerostomia,"( 24,34)",Signs and Symptoms
820,sentence_76,sentence_76.txt,xerostomia,"( 143,153)",Signs and Symptoms
806,sentence_713,sentence_713.txt,Schirmer test,"( 65,78)",Diagnostic Tests
88,sentence_113,sentence_113.txt,hypophosphatemia.,"( 184,201)",Signs and Symptoms
1011,sentence_2051,sentence_2051.txt,Plummer-Vinson syndrome,"( 43,66)",Associated Conditions
1638,sentence_2466,sentence_2466.txt,arthritis,"( 47,56)",Signs and Symptoms
1211,sentence_2186,sentence_2186.txt,ocular pain,"( 52,63)",Signs and Symptoms
57,sentence_1075,sentence_1075.txt,anti-SSB antibody.,"( 200,218)",Diagnostic Tests
1035,sentence_2065,sentence_2065.txt,inflammation of exocrine glands,"( 92,123)",Signs and Symptoms
849,sentence_810,sentence_810.txt,dry eye,"( 38,45)",Signs and Symptoms
918,sentence_2003,sentence_2003.txt,Xerostomia,"( 9,19)",Signs and Symptoms
744,sentence_656,sentence_656.txt,elderly,"( 23,30)",Risk Factors
1611,sentence_2448,sentence_2448.txt,dry mouth,"( 94,103)",Signs and Symptoms
1438,sentence_2347,sentence_2347.txt,atrophy,"( 38,45)",Signs and Symptoms
1163,sentence_2128,sentence_2128.txt,sicca symptoms,"( 59,73)",Signs and Symptoms
1405,sentence_2321,sentence_2321.txt,waddling gait,"( 81,94)",Signs and Symptoms
848,sentence_809,sentence_809.txt,fatigue.,"( 138,146)",Signs and Symptoms
289,sentence_1635,sentence_1635.txt,dry eye,"( 109,116)",Signs and Symptoms
1004,sentence_2042,sentence_2042.txt,IHC scores of subcellular EpEX/EpICD,"( 4,40)",Diagnostic Tests
1486,sentence_2382,sentence_2382.txt,poly)arthritis,"( 74,88)",Signs and Symptoms
1789,sentence_2603,sentence_2603.txt,distal renal tubular acidosis.,"( 83,113)",Associated Conditions
1263,sentence_2216,sentence_2216.txt,dry eye syndrome.,"( 59,76)",Signs and Symptoms
376,sentence_1787,sentence_1787.txt,dry mouth,"( 76,85)",Signs and Symptoms
666,sentence_51,sentence_51.txt,woman,"( 24,29)",Risk Factors
1421,sentence_2334,sentence_2334.txt,female,"( 87,93)",Risk Factors
832,sentence_766,sentence_766.txt,SS-A/Ro,"( 164,171)",Diagnostic Tests
124,sentence_1209,sentence_1209.txt,xeroftalmia,"( 101,112)",Signs and Symptoms
1340,sentence_2291,sentence_2291.txt,hypokalemic paralysis,"( 36,57)",Associated Conditions
83,sentence_1103,sentence_1103.txt,salivary gland ultrasonography,"( 17,47)",Diagnostic Tests
1628,sentence_2464,sentence_2464.txt,parotid swelling,"( 56,72)",Diagnostic Tests
540,sentence_293,sentence_293.txt,joint pain,"( 68,78)",Signs and Symptoms
1777,sentence_2599,sentence_2599.txt,hyperchloremic metabolic acidosis.,"( 56,90)",Associated Conditions
121,sentence_1203,sentence_1203.txt,sicca,"( 90,95)",Signs and Symptoms
1344,sentence_2293,sentence_2293.txt,distal RTA,"( 74,84)",Associated Conditions
1337,sentence_2290,sentence_2290.txt,RTA,"( 0,3)",Associated Conditions
672,sentence_521,sentence_521.txt,sicca,"( 84,89)",Signs and Symptoms
1088,sentence_2101,sentence_2101.txt,sialometry,"( 149,159)",Diagnostic Tests
1654,sentence_2482,sentence_2482.txt,salivary gland swelling,"( 143,166)",Signs and Symptoms
110,sentence_1172,sentence_1172.txt,fatigue,"( 176,183)",Signs and Symptoms
1174,sentence_2137,sentence_2137.txt,rheumatoid arthritis.,"( 172,193)",Associated Conditions
1515,sentence_2400,sentence_2400.txt,anti-La/SSB antibodies,"( 127,149)",Diagnostic Tests
1302,sentence_2258,sentence_2258.txt,ocular sicca symptoms,"( 9,30)",Signs and Symptoms
1849,sentence_2698,sentence_2698.txt,xerostomia,"( 130,140)",Signs and Symptoms
235,sentence_1458,sentence_1458.txt,systemic lupus erythematosus,"( 195,223)",Associated Conditions
209,sentence_1421,sentence_1421.txt,fatigue,"( 78,85)",Signs and Symptoms
1003,sentence_2042,sentence_2042.txt,IHC scores,"( 4,14)",Diagnostic Tests
748,sentence_659,sentence_659.txt,autoantibodies against SSA/Ro and SSB/La antigens,"( 219,268)",Diagnostic Tests
291,sentence_1635,sentence_1635.txt,keratoconjunctivitis sicca,"( 69,95)",Signs and Symptoms
1702,sentence_2530,sentence_2530.txt,anti-La,"( 104,111)",Diagnostic Tests
1228,sentence_2196,sentence_2196.txt,Female,"( 8,14)",Risk Factors
393,sentence_1835,sentence_1835.txt,arthritis,"( 74,83)",Signs and Symptoms
244,sentence_1489,sentence_1489.txt,dry eye,"( 22,29)",Signs and Symptoms
711,sentence_610,sentence_610.txt,Schirmer and Lissamine test.,"( 331,359)",Diagnostic Tests
1434,sentence_2346,sentence_2346.txt,dental caries,"( 34,47)",Signs and Symptoms
483,sentence_220,sentence_220.txt,salivary gland ultrasonography,"( 56,86)",Diagnostic Tests
1239,sentence_2198,sentence_2198.txt,intense Power Doppler signal,"( 118,146)",Diagnostic Tests
224,sentence_1446,sentence_1446.txt,ocular dryness,"( 137,151)",Signs and Symptoms
1834,sentence_2685,sentence_2685.txt,fatigue.,"( 80,88)",Signs and Symptoms
561,sentence_346,sentence_346.txt,dryness,"( 12,19)",Signs and Symptoms
1790,sentence_2604,sentence_2604.txt,sicca complaints.,"( 77,94)",Signs and Symptoms
1323,sentence_2278,sentence_2278.txt,lymphoma,"( 90,98)",Associated Conditions
620,sentence_402,sentence_402.txt,fatigue,"( 75,82)",Signs and Symptoms
741,sentence_656,sentence_656.txt,weight loss,"( 112,123)",Signs and Symptoms
331,sentence_1697,sentence_1697.txt,salivary gland swelling,"( 39,62)",Signs and Symptoms
171,sentence_1355,sentence_1355.txt,salivary gland biopsy,"( 6,27)",Diagnostic Tests
608,sentence_394,sentence_394.txt,fungal infections,"( 96,113)",Signs and Symptoms
1256,sentence_2213,sentence_2213.txt,anti-SSA antibody,"( 76,93)",Diagnostic Tests
178,sentence_136,sentence_136.txt,SLE,"( 144,147)",Associated Conditions
86,sentence_111,sentence_111.txt,dry eyes,"( 137,145)",Signs and Symptoms
1074,sentence_2093,sentence_2093.txt,xerophthalmia,"( 39,52)",Signs and Symptoms
1804,sentence_2633,sentence_2633.txt,peripheral neuropathy,"( 99,120)",Signs and Symptoms
985,sentence_2031,sentence_2031.txt,low frequency of anti-Ro/SS-A,"( 159,188)",Diagnostic Tests
1193,sentence_2155,sentence_2155.txt,xerostomia,"( 71,81)",Signs and Symptoms
1251,sentence_2212,sentence_2212.txt,non-stimulated salivary flow rate,"( 114,147)",Signs and Symptoms
1391,sentence_2319,sentence_2319.txt,exercise intolerance,"( 127,147)",Signs and Symptoms
75,sentence_1099,sentence_1099.txt,dryness,"( 154,161)",Signs and Symptoms
1749,sentence_2573,sentence_2573.txt,xerophthalmia,"( 177,190)",Signs and Symptoms
629,sentence_429,sentence_429.txt,lymphoplasmacytic sialoadenitis.,"( 160,192)",Signs and Symptoms
1816,sentence_2644,sentence_2644.txt,glomerulonephritis,"( 94,112)",Associated Conditions
1502,sentence_2389,sentence_2389.txt,minor salivary gland biopsy,"( 69,97)",Diagnostic Tests
1521,sentence_2402,sentence_2402.txt,optic neuropathy,"( 46,62)",Associated Conditions
941,sentence_2008,sentence_2008.txt,xerostomia,"( 58,68)",Signs and Symptoms
1275,sentence_2241,sentence_2241.txt,Xerostomia,"( 0,10)",Signs and Symptoms
1725,sentence_2548,sentence_2548.txt,sialography,"( 79,90)",Diagnostic Tests
1470,sentence_2368,sentence_2368.txt,AECG criteria,"( 32,45)",Diagnostic Tests
1787,sentence_2602,sentence_2602.txt,Schirmer's test,"( 0,15)",Diagnostic Tests
279,sentence_1605,sentence_1605.txt,systemic lupus erythematosus,"( 115,143)",Associated Conditions
1175,sentence_2138,sentence_2138.txt,dry keratoconjunctivitis,"( 145,169)",Signs and Symptoms
1414,sentence_2328,sentence_2328.txt,myopathic symptoms,"( 89,107)",Signs and Symptoms
1476,sentence_2371,sentence_2371.txt,anti-SSA/SSB positivity,"( 98,121)",Diagnostic Tests
1155,sentence_2126,sentence_2126.txt,arthritis,"( 43,52)",Associated Conditions
637,sentence_46,sentence_46.txt,women.,"( 74,80)",Risk Factors
1250,sentence_2212,sentence_2212.txt,dry mouth,"( 75,84)",Signs and Symptoms
618,sentence_40,sentence_40.txt,fatigue,"( 4,11)",Signs and Symptoms
1392,sentence_2319,sentence_2319.txt,50-year-old,"( 15,26)",Risk Factors
